# CE5 leaf -> CE6 twin page id (official catalogs, title-matched)
CEL_THREAD_RESUME	ms885137	ee488584
CEL_THREAD_SUSPEND	ms885138	ee488420
CEL_THREAD_SWITCH	ms885139	ee488435
CEL_THREAD_TERMINATE	ms885140	ee488411
CEL_VIRTUAL_ALLOC	ms885141	ee488395
CEL_VIRTUAL_COPY	ms885142	ee488194
CEL_VIRTUAL_FREE	ms885143	ee488195
CEL_WAIT_MULTI	ms885145	ee488914
CERTSRV Error Codes	aa451023	ee488175
CE_NOTIFICATION_INFO_HEADER	ms908082	ee505719
CE_NOTIFICATION_TRIGGER	ms908083	ee506153
CE_USER_NOTIFICATION	ms908106	ee505252
CHARSETINFO	ms885163	ee488442
COLORREF	ms928589	ee505694
COMBOBOXINFO	ms928818	ee505276
COMMPROP	ms885170	ee488214
COMMTIMEOUTS	ms885171	ee488247
COMSTAT	ms885173	ee488223
CONTEXT	ms885174	ee488930
CPINFO	ms904717	ee490975
CREATESTRUCT	ms908189	ee505636
CREATE_PROCESS_DEBUG_INFO	ms885183	ee487965
CREATE_THREAD_DEBUG_INFO	ms885187	ee488441
CRYPT Error Codes	aa451026	ee488560
CURRENCYFMT	ms904720	ee490960
CallWindowProc	aa452919	ee499393
CeClearUserNotification	ms908074	ee506252
CeFindCloseRegChange	aa517103	ee490235
CeFindFirstRegChange	aa517116	ee489978
CeFindNextRegChange	aa517123	ee490027
CeGenRandom	aa517140	ee490181
CeGetCallerTrust	aa450792	ee488579
CeGetCanonicalPathName	aa517144	ee490595
CeGetFileNotificationInfo	aa517158	ee489582
CeGetThreadPriority	aa450795	ee488181
CeGetThreadQuantum	aa450796	ee488423
CeGetUserNotification	ms908076	ee505678
CeGetUserNotificationHandles	ms908077	ee499694
CeGetUserNotificationPreferences	ms908078	ee503893
CeHandleAppNotifications	ms908079	ee499110
CeHeapCreate	aa450797	ee488377
CeLog Event Identifiers	aa450677	ee487955
CeLog Event Tracking Functions	aa450679	-
CeLog Event Tracking Macros	aa451019	ee487967
CeLog Event Tracking Structures	aa450698	-
CeLog Pre-Defined Data Types	aa451021	ee488011
CeLog Zones	aa450700	ee488414
CeLogData	aa450823	ee488639
CeLogGetZones	aa450824	ee488351
CeLogInterrupt	aa451043	ee488562
CeLogMsg	aa450825	ee488366
CeLogQueryZones	aa450826	ee488630
CeLogReSync	aa450827	ee488638
CeLogSetZones	aa450828	ee487969
CeRunAppAtEvent	ms908102	ee504578
CeRunAppAtTime	ms908103	ee506251
CeSetThreadPriority	ms885155	ee488041
CeSetThreadQuantum	ms885156	ee488622
CeSetUserNotification	ms908104	ee501051
CeSetUserNotificationEx	ms908105	ee501928
CeZeroPointer	ms885158	ee488151
ChangeDisplaySettingsEx	ms908108	ee505713
CharLower	ms885159	ee488761
CharLowerBuff	ms885160	ee488766
CharNext	ms885161	ee488221
CharPrev	ms885162	ee488364
CharUpper	ms885164	ee488230
CharUpperBuff	ms885165	ee488447
Check Box Styles	ms928572	ee504569
CheckDlgButton	ms928573	ee499366
CheckMenuItem	ms928575	ee499672
CheckMenuRadioItem	ms928576	ee502246
CheckRadioButton	ms928577	ee500159
ChildWindowFromPoint	ms928578	ee504384
ClearCommBreak	ms885166	ee488216
ClearCommError	ms885167	ee488605
ClientToScreen	ms928584	ee505933
CloseClipboard	ms928586	ee499346
CloseHandle	aa517300	ee490442
CloseMsgQueue	ms885168	ee488787
CloseToolhelp32Snapshot	ms885169	ee488394
Code Pages	ms903783	ee491782
CombineRgn	ms928608	ee504827
Combo Box Styles	ms908112	ee501099
CompareFileTime	ms885172	ee488173
CompareString	ms904713	ee492131
ContinueDebugEvent	ms885175	ee488380
ConvertDefaultLocale	ms904716	ee491548
ConvertThreadToFiber	ms885176	ee488149
CopyFile	aa517309	ee490577
CopyFileEx	aa517311	ee490791
CopyRect	ms908152	ee500892
CountClipboardFormats	ms908153	ee499055
CreateAcceleratorTable	ms908162	ee505096
CreateBitmap	ms908163	ee505308
CreateCaret	ms908164	ee502564
CreateCompatibleBitmap	ms908165	ee505724
CreateCompatibleDC	ms908166	ee504853
CreateDC	ms908168	ee500930
CreateDIBPatternBrushPt	ms908173	ee501785
CreateDIBSection	ms908174	ee502255
CreateDialog	ms908169	ee502874
CreateDialogIndirect	ms908170	ee504589
CreateDialogIndirectParam	ms908171	ee504612
CreateDialogParam	ms908172	ee503494
CreateDirectory	aa517316	ee490797
CreateEvent	ms885177	ee488008
CreateFiber	ms885178	ee488035
CreateFile	aa517318	ee490417
CreateFileForMapping	aa517321	ee489638
CreateFileMapping	aa517331	ee490172
CreateHandler	ms885179	ee488445
CreateIconIndirect	ms908175	ee503639
CreateMenu	ms908177	ee503486
CreateMsgQueue	ms885180	ee488163
CreateMutex	ms885181	ee488798
CreatePalette (GDI)	ms908178	ee502315
CreatePatternBrush	ms908179	ee503397
CreatePen	ms908180	ee501713
CreatePenIndirect	ms908181	ee500189
CreatePopupMenu	ms908182	ee502545
CreateProcess	ms885182	ee488927
CreateRectRgn	ms908184	ee503633
CreateRectRgnIndirect	ms908185	ee505867
CreateSemaphore	ms885184	ee488431
CreateSolidBrush	ms908187	ee501459
CreateThread	ms885186	ee488162
CreateTicket	ms885188	ee488031
CreateToolhelp32Snapshot	ms885189	ee487995
CreateWindow	ms908192	ee500617
CreateWindowEx	ms908193	ee503435
DBGPARAM	aa451060	ee487951
DCB	ms885192	ee488022
DEBUGCHK	aa451062	ee488167
DEBUGLED	aa451064	ee488408
DEBUGMSG	aa451065	ee488430
DEBUGREGISTER, RETAILREGISTERZONES	aa451067	ee488796
DEBUGZONE	aa451070	ee488354
DEBUG_EVENT	ms885195	ee488558
DELETEITEMSTRUCT	aa452931	ee501470
DEVMODE	aa452943	ee506078
DIBSECTION	aa452953	ee503509
DISPLAY_DEVICE	aa452957	ee499040
DLGITEMTEMPLATE	aa452958	ee503177
DLGITEMTEMPLATEEX	aa452959	ee504110
DLGTEMPLATE	aa452960	ee504037
DLGTEMPLATEEX	aa452961	ee504551
DLL Functions	aa450708	-
DLL Structures	aa450738	-
DM_GETDEFID	aa452962	ee501934
DM_SETDEFID	aa452963	ee501770
DOCINFO	aa452964	ee502297
DRAWITEMSTRUCT	aa452974	ee501739
DataHandler	ms885191	ee488191
Date and Time Picker Styles	ms908197	ee503895
DebugActiveProcess	ms885193	ee488781
DebugBreak	ms885194	ee488413
Debugging Functions	aa450702	-
Debugging Macros	ms887725	-
Debugging Structures	aa450706	-
DefDlgProc	ms908209	ee499719
DefWindowProc	aa452929	ee503409
DeferWindowPos	ms908210	ee500478
DeleteAndRenameFile	ms887981	ee489617
DeleteCriticalSection	ms885196	ee488901
DeleteDC	aa452930	ee502851
DeleteFiber	ms885197	ee488154
DeleteFile	ms889001	ee490038
DeleteHandler	ms885198	ee488399
DeleteMenu	aa452932	ee504306
DeleteObject	aa452933	ee503315
DeleteTicket	ms885199	ee488574
DestroyAcceleratorTable	aa452935	ee500521
DestroyCaret	aa452936	ee499400
DestroyIcon	aa452938	ee505704
DestroyMenu	aa452940	ee505063
DestroyWindow	aa452942	ee501955
DialogBox	aa452947	ee505643
DialogBoxIndirect	aa452948	ee500191
DialogBoxIndirectParam	aa452949	ee502860
DialogBoxParam	aa452950	ee502598
DialogProc	aa452951	ee504362
DisableThreadLibraryCalls	ms885200	ee487996
DisassociateSession	ms885201	ee488779
DispatchMessage	aa452956	ee500517
DllMain	ms885202	ee488450
DrawEdge	aa452968	ee501983
DrawFocusRect	aa452969	ee500893
DrawFrameControl	aa452970	ee503654
DrawIconEx	aa452972	ee506107
DrawMenuBar	aa452975	ee504537
DuplicateHandle	ms885208	ee488902
EM_CANUNDO	aa452998	ee504564
EM_CHARFROMPOS	aa453001	ee505025
EM_EMPTYUNDOBUFFER	aa453002	ee503116
EM_FMTLINES	aa453003	ee502582
EM_GETFIRSTVISIBLELINE	aa453004	ee503383
EM_GETLIMITTEXT	aa453005	ee504882
EM_GETLINE	aa453006	ee503210
EM_GETLINECOUNT	aa453007	ee500297
EM_GETMARGINS	aa453008	ee501766
EM_GETMODIFY	aa453009	ee503675
EM_GETPASSWORDCHAR	aa453010	ee505841
EM_GETRECT	aa453011	ee504105
EM_GETSEL	aa453012	ee503313
EM_LIMITTEXT	aa453013	ee503913
EM_LINEFROMCHAR	aa453014	ee503723
EM_LINEINDEX	aa453015	ee499664
EM_LINELENGTH	aa453016	ee504896
EM_LINESCROLL	aa453017	ee501961
EM_POSFROMCHAR	aa453018	ee499696
EM_REPLACESEL	aa453020	ee500147
EM_SCROLL	aa453021	ee504165
EM_SCROLLCARET	aa453022	ee499403
EM_SETLIMITTEXT	aa453023	ee499421
EM_SETMARGINS	aa453024	ee503961
EM_SETMODIFY	aa453025	ee502889
EM_SETPASSWORDCHAR	aa453026	ee502924
EM_SETREADONLY	aa453027	ee500448
EM_SETRECT	aa453028	ee505717
EM_SETRECTNP	aa453029	ee501418
EM_SETSEL	aa453030	ee504123
EM_SETTABSTOPS	aa453031	ee503176
EM_UNDO	aa453032	ee503101
EN_CHANGE	aa453036	ee500784
EN_ERRSPACE	aa453042	ee503705
EN_HSCROLL	aa453043	ee501909
EN_KILLFOCUS	aa453044	ee499374
EN_MAXTEXT	aa453045	ee505280
EN_SETFOCUS	aa453046	ee501087
EN_UPDATE	aa453053	ee503885
EN_VSCROLL	aa453054	ee503125
ERRORMSG	aa451079	ee488563
EXCEPTION_DEBUG_INFO	ms885214	ee488028
EXCEPTION_POINTERS	ms885215	ee488588
EXCEPTION_RECORD	ms885216	ee487973
EXIT_PROCESS_DEBUG_INFO	ms885218	ee488920
EXIT_THREAD_DEBUG_INFO	ms885220	ee487970
Edit Control Styles	aa452995	ee504833
EditSession	ms885211	ee488177
EditorDeregister	ms885209	ee487982
EditorInitialize	ms885210	ee487968
Ellipse	aa452997	ee502230
EmptyClipboard	aa453019	ee505658
EnableHardwareKeyboard	aa453033	ee501450
EnableMenuItem	aa453034	ee501426
EnableWindow	aa453035	ee504109
EndDeferWindowPos	aa453037	ee503902
EndDialog	aa453038	ee506301
EndDoc	aa453039	ee505837
EndPage	aa453040	ee505849
EndPaint	aa453041	ee499422
EnterCriticalSection	ms885212	ee488915
EnumCalendarInfo	ms904721	ee491359
EnumCalendarInfoProc	ms904722	ee491129
EnumClipboardFormats	aa453047	ee505881
EnumCodePagesProc	ms904723	ee491122
EnumDateFormats	ms904724	ee491363
EnumDateFormatsProc	ms904740	ee491531
EnumDisplayDevices	aa453048	ee504895
EnumDisplaySettings	aa453049	ee504298
EnumLocalesProc	ms904848	ee491185
EnumPropsEx	aa453050	ee503514
EnumSystemCodePages	ms905062	ee491962
EnumSystemLocales	ms905070	ee491192
EnumTimeFormats	ms905077	ee491332
EnumTimeFormatsProc	ms905083	ee491148
EnumWindows	aa453051	ee501060
EnumWindowsProc	aa453052	ee506170
EqualRect	aa453055	ee500525
EqualRgn	aa453056	ee504300
Error Functions	aa450739	-
EscapeCommFunction	ms885213	ee488402
Exception Functions	aa450741	-
Exception Structures	aa450743	-
ExcludeClipRect	aa453058	ee505422
ExitProcess	ms885217	ee488596
ExitThread	ms885219	ee488591
ExtCreateRegion	aa453061	ee501408
ExtEscape	aa453063	ee506103
ExtractIconEx	aa453065	ee503636
FILECHANGEINFO	ms889030	ee490403
FILETIME	ms885586	ee488581
FILE_NOTIFY_INFORMATION	ms889597	ee489743
FINDEX_INFO_LEVELS	ms889654	ee490216
FINDEX_SEARCH_OPS	ms889664	ee490608
FONTSIGNATURE	ms885597	ee488208
Fiber Functions	aa450744	-
FiberProc	ms885221	ee488613
File I/O Enumerations	aa516938	-
File I/O Functions	aa516939	-
File I/O Structures	aa516941	-
File Mapping Functions	aa516942	-
FileTimeToLocalFileTime	ms885589	ee488768
FileTimeToSystemTime	ms885593	ee488551
FillRect	aa453067	ee499094
FillRgn	aa453068	ee502289
FindClose	ms889619	ee489804
FindCloseChangeNotification	ms889625	ee489773
FindFirstChangeNotification	ms889670	ee490599
FindFirstFile	ms889678	ee489744
FindFirstFileEx	ms889683	ee490404
FindNextChangeNotification	ms889784	ee490370
FindNextFile	ms889873	ee490628
FindResource	aa453069	ee503121
FindWindow	aa453070	ee505735
FlushFileBuffers	ms890238	ee489770
FlushInstructionCache	ms885595	ee487964
FlushViewOfFile	ms890303	ee490145
FoldString	ms905209	ee491930
FormatMessage	ms885599	ee488376
Formatting Specifications	ms885600	ee488601
FreeLibrary	ms885601	ee488241
FreeLibraryAndExitThread	ms885602	ee488352
GET_FILEEX_INFO_LEVELS	ms890917	ee489792
GET_FOREGROUND_INFO	aa453186	ee502612
GRADIENT_RECT	aa453193	ee504211
GetACP	ms905215	ee491208
GetActiveWindow	ms929203	ee505710
GetAsyncKeyState	ms929204	ee504378
GetAsyncShiftFlags	aa453955	ee502834
GetBValue	ms929207	ee505880
GetBkColor	ms929205	ee499127
GetBkMode	ms929206	ee502613
GetCPInfo	ms905221	ee491373
GetCaretBlinkTime	ms929209	ee505236
GetCaretPos	ms929210	ee501385
GetClassInfo	ms929211	ee500575
GetClassLong	ms929212	ee502892
GetClassName	ms929213	ee499075
GetClientRect	ms929214	ee499340
GetClipBox	ms929219	ee501949
GetClipRgn	ms929221	ee504572
GetClipboardData	ms929215	ee500850
GetClipboardDataAlloc	ms929216	ee501066
GetClipboardFormatName	ms929217	ee503193
GetClipboardOwner	ms929218	ee501914
GetCommMask	ms885606	ee488193
GetCommModemStatus	ms885607	ee488617
GetCommProperties	ms885608	ee488603
GetCommState	ms885609	ee488362
GetCommTimeouts	ms885610	ee488240
GetCommandLine	ms885605	ee488561
GetCurrencyFormat	ms905229	ee491378
GetCurrentFT	aa451027	ee488383
GetCurrentFiber	ms885611	ee488624
GetCurrentObject	ms929223	ee505940
GetCurrentPositionEx	ms929224	ee501980
GetCurrentProcess	ms885613	ee488443
GetCurrentProcessId	ms885614	ee488631
GetCurrentThread	ms885615	ee488202
GetCurrentThreadId	ms885616	ee488409
GetDC	ms929227	ee499088
GetDCEx	ms929228	ee501177
GetDIBColorTable	ms929232	ee500282
GetDateFormat	ms905235	ee491714
GetDesktopWindow	ms929229	ee504867
GetDeviceCaps	ms929230	ee503230
GetDialogBaseUnits	ms929231	ee499648
GetDiskFreeSpaceEx	ms890887	ee490421
GetDlgCtrlID	ms929233	ee505952
GetDlgItem	ms929234	ee500513
GetDlgItemInt	ms929235	ee500607
GetDlgItemText	ms929236	ee506059
GetDllVersion	ms885617	ee488161
GetExceptionCode	ms885620	ee488042
GetExceptionInformation	ms885621	ee488612
GetExitCodeProcess	ms885622	ee488446
GetExitCodeThread	ms885623	ee488756
GetFiberData	ms885624	ee488921
GetFileAttributes	ms890895	ee489560
GetFileAttributesEx	ms890909	ee490758
GetFileInformationByHandle	ms890926	ee489735
GetFileSize	ms890939	ee490353
GetFileTime	ms885625	ee487950
GetFileVersionInfo	ms890951	ee489818
GetFileVersionInfoSize	ms890963	ee489808
GetFocus	ms929240	ee502865
GetForegroundInfo	ms929241	ee504647
GetForegroundKeyboardLayoutHandle	ms929242	ee500141
GetForegroundKeyboardTarget	ms929243	ee502570
GetForegroundWindow	ms929244	ee503376
GetGValue	ms929246	ee502875
GetIconInfo	ms929247	ee504094
GetIdleTime	ms885626	ee488013
GetKeyState	aa453132	ee503615
GetKeyboardLayout	ms929249	ee504086
GetKeyboardLayoutList	ms929250	ee506264
GetKeyboardLayoutName	ms929252	ee501752
GetKeyboardStatus	ms929253	ee500258
GetKeyboardType	ms929254	ee505022
GetLastError	ms885627	ee488182
GetLayout	aa453133	ee500452
GetLocalTime	ms885628	ee487966
GetLocaleInfo	ms905243	ee491708
GetMenuItemInfo	aa453134	ee505664
GetMessage	aa453135	ee503715
GetMessagePos	aa453136	ee501753
GetMessageQueueReadyTimeStamp	aa453137	ee506134
GetMessageSource	aa453138	ee504356
GetModuleFileName	ms885629	ee488356
GetModuleHandle	ms885630	ee487994
GetModuleInformation	ms885631	ee488196
GetMsgQueueInfo	ms885632	ee488429
GetNearestColor	aa453140	ee506255
GetNearestPaletteIndex	aa453141	ee501123
GetNextDlgGroupItem	aa453145	ee505040
GetNextDlgTabItem	aa453146	ee499080
GetNumberFormat	ms905250	ee490917
GetOEMCP	ms905256	ee491929
GetObject	aa453147	ee506071
GetObjectType	aa453148	ee499386
GetOpenClipboardWindow	aa453149	ee503207
GetOutlineTextMetrics	ms933897	ee502871
GetPaletteEntries	aa453151	ee502303
GetParent	aa453152	ee501080
GetPixel	aa453153	ee504020
GetPriorityClipboardFormat	aa453154	ee505514
GetProcAddress	ms885634	ee488623
GetProcessHeap	ms885635	ee488912
GetProcessVersion	ms885636	ee488575
GetProp	aa453155	ee499391
GetQueueStatus	aa453156	ee503606
GetROP2	aa453160	ee501104
GetRValue	aa453161	ee502900
GetRegionData	aa453157	ee505860
GetRgnBox	aa453159	ee504142
GetScrollInfo	aa453163	ee504048
GetStockObject	aa453164	ee505070
GetStoreInformation	ms891023	ee490015
GetStretchBltMode	aa453165	ee504329
GetStringTypeEx	ms905283	ee491630
GetStringTypeW	ms905272	ee490929
GetSubMenu	aa453166	ee505084
GetSysColor	aa453167	ee505488
GetSysColorBrush	aa453168	ee501395
GetSystemDefaultLCID	ms905298	ee491972
GetSystemDefaultLangID	ms905289	ee491785
GetSystemInfo	ms885638	ee488900
GetSystemMenu	aa453169	ee505863
GetSystemMetrics	aa453170	ee499415
GetSystemPaletteEntries	aa453171	ee503127
GetSystemPowerStatusEx	aa453172	ee500626
GetSystemPowerStatusEx2	aa453173	ee505675
GetSystemTime	ms885640	ee488017
GetTempFileName	ms891186	ee489761
GetTempPath	ms891189	ee489558
GetThreadContext	ms885642	ee488046
GetThreadPriority	ms885643	ee488168
GetThreadTimes	ms885644	ee487997
GetTickCount	ms885645	ee487985
GetTimeFormat	ms905310	ee491547
GetTimeZoneInformation	ms885646	ee488172
GetUpdateRect	aa453174	ee501189
GetUpdateRgn	aa453175	ee500868
GetUserDefaultLCID	ms905323	ee491727
GetUserDefaultLangID	ms905315	ee491635
GetUserNameEx	aa517595	ee489621
GetVersionEx	ms885648	ee488165
GetViewportExtEx	aa453949	ee505861
GetViewportOrgEx	aa453950	ee504872
GetWindow	aa453178	ee506081
GetWindowDC	aa453179	ee500451
GetWindowExtEx	aa453951	ee501438
GetWindowLong	aa453180	ee504521
GetWindowOrgEx	aa453952	ee501951
GetWindowRect	aa453181	ee502589
GetWindowRgn	aa453182	ee505457
GetWindowText	aa453183	ee506164
GetWindowTextLength	aa453184	ee504202
GetWindowThreadProcessId	aa453185	ee505723
GlobalAddAtom	aa453188	ee506286
GlobalDeleteAtom	aa453189	ee504119
GlobalFindAtom	aa453190	ee501431
GlobalMemoryStatus	ms885649	ee488170
GradientFill	aa453192	ee499729
HEAPENTRY32	ms885658	ee488609
HEAPLIST32	ms885660	ee488401
Header Control Styles	ms929910	ee499044
Heap32First	ms885650	ee487960
Heap32ListFirst	ms885651	ee488906
Heap32ListNext	ms885652	ee488180
Heap32Next	ms885653	ee488032
HeapAlloc	ms885654	ee488197
HeapCompact	ms885655	ee488005
HeapCreate	ms885656	ee488381
HeapDestroy	ms885657	ee488651
HeapFree	ms885659	ee488228
HeapReAlloc	ms885661	ee488385
HeapSize	ms885662	ee488405
HeapValidate	ms885663	ee488778
HideCaret	ms929930	ee503185
IMAGEINFO (Graphics, Windowing and Events)	ms909781	ee504824
IMAGELISTDRAWPARAMS	ms909819	ee504136
INDEXTOOVERLAYMASK	ms909843	ee502218
INPUT	ms909851	ee506044
IPRcvBuf	ms885685	ee488023
IP_NAT_DIRECTION	ms885682	ee488393
IP_NAT_REGISTER_EDITOR	ms885683	ee488577
IP_NAT_SESSION_MAPPING_STATISTICS	ms885684	ee488635
ImageList_Add	ms909786	ee502231
ImageList_AddIcon	ms909790	ee504543
ImageList_AddMasked	ms909795	ee503446
ImageList_BeginDrag	ms909799	ee500766
ImageList_Copy	ms909805	ee499691
ImageList_Create	ms909810	ee500447
ImageList_Destroy	ms909811	ee501989
ImageList_DragEnter	ms909812	ee505711
ImageList_DragLeave	ms909813	ee501729
ImageList_DragMove	ms909814	ee503204
ImageList_DragShowNolock	ms909815	ee501254
ImageList_Draw	ms909816	ee502905
ImageList_DrawEx	ms909817	ee506293
ImageList_DrawIndirect	ms909818	ee504032
ImageList_Duplicate	ms909820	ee502893
ImageList_EndDrag	ms909821	ee499743
ImageList_ExtractIcon	ms909822	ee503909
ImageList_GetBkColor	ms909823	ee501730
ImageList_GetDragImage	ms909824	ee500265
ImageList_GetIcon	ms909825	ee506299
ImageList_GetIconSize	ms909826	ee503580
ImageList_GetImageCount	ms909827	ee504304
ImageList_GetImageInfo	ms909828	ee499663
ImageList_LoadBitmap	ms909829	ee504299
ImageList_LoadImage	ms909830	ee504385
ImageList_Merge	ms909831	ee503132
ImageList_Remove	ms909832	ee506284
ImageList_RemoveAll	ms909833	ee504892
ImageList_Replace	ms909834	ee504557
ImageList_ReplaceIcon	ms909835	ee500224
ImageList_SetBkColor	ms909836	ee504889
ImageList_SetDragCursorImage	ms909837	ee503586
ImageList_SetIconSize	ms909838	ee500889
ImageList_SetImageCount	ms909839	ee501924
ImageList_SetOverlayImage	ms909840	ee506087
InSendMessage	ms909852	ee505296
InflateRect	ms909847	ee501937
InitializeCriticalSection	ms885665	ee488434
InsertMenu	ms909853	ee502866
InterlockedCompareExchange	ms885667	ee488207
